State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
OK,Edmond,Municipal,09-15-1992,Bond for parks,Bond,,Parks,"$1,089,000","$1,089,000","$1,089,000","$1,089,000",yes,Pass,52.821727726542%,47.178272273458%,,yes
Ore,Troutdale,Municipal,09-15-1992,Bond for park acquisition,Bond,,Parks,"$600,000","$300,000","$600,000","$300,000",yes,Pass,61.574074074074%,38.425925925926%,Multnomah County,yes
WA,Kitsap County,County,09-15-1992,"Proposition 1, bond for open space and park development",Bond,,"Open space, parks,trails","$70,000,000","$70,000,000",,,no,Fail,50.967210560292%,49.032789439708%,2/3 vote needed,yes
FL,Hillsborough County,County,10-01-1992,Bonds for parks,Bond,,Parks,"$20,000,000","$20,000,000","$20,000,000","$20,000,000",yes,Pass,50.749949667808%,49.250050332192%,,yes
FL,Indian River County,County,11-01-1992,Bonds for environmetally sensitive lands,Bond,,"Open space, watershed protection, wildlife habitat","$26,000,000","$26,000,000","$26,000,000","$26,000,000",yes,Pass,52.636366487877%,47.363633512123%,,yes
AL,Alabama,State,11-03-1992,"Alabama Forever Land Trust-for the acquisition, maintenance and protection of lands and water areas,  plant and animal life, geological formations, wild habitats, recreational value and scenic beauty",Other,Interest from oil and gas royalties,"Open space, recreation,wildlife habitat,watershed protection","$200,000,000","$200,000,000","$200,000,000","$200,000,000",yes,Pass,83.648520106426%,16.351479893574%,,yes
AR,Hot Springs,Municipal,11-03-1992,Bonds for acquisition of land adjoining existing parks and construction of parking for persons,Bond,,Parks,"$1,200,000","$300,000",,,no,Fail,41.468663139962%,58.531336860038%,Garland County,yes
CA,Los Angeles County,County,11-03-1992,"Measure A, Creation of a 22-year benefit assessment district to levy assessments on real property for open space, park and beach acquisition and related public works projects",Other,Benefit Assessment,"Open space, watershed protection, wildlife habitat, parks, trails","$540,000,000","$472,330,000","$540,000,000","$472,330,000",yes,Pass,63.902901296418%,36.097098703582%,Majority vote required,yes
CA,Napa County Regional Open Space District,County,11-03-1992,,Sales tax,,,,,,,no,Fail,29.376463412235%,70.623536587765%,Measure O,yes
CO,Fort Collins,Municipal,11-03-1992,"5-year, .25% sales and use tax increase for acquisition and maintenance of land for public trails, wildlife habitat, and natural areas",Sales tax,,"Open space, wildlife habitat, trails","$12,500,000","$12,500,000","$12,500,000","$12,500,000",yes,Pass,52.877072913925%,47.122927086075%,,yes
CO,Lafayette,Municipal,11-03-1992,"Question No.1, 0.25% sales and use tax increase for acquisition of parks, preservation of open space, and establishment of trails",Sales tax,,"Open space, parks, trails","$6,000,000","$6,000,000","$6,000,000","$6,000,000",yes,Pass,54.019488428745%,45.980511571255%,,yes
CO,Colorado,State,11-03-1992,Lottery funds to establish Great Outdoors Colorado,Other,Lottery,"Open space, wildlife habitat, parks, trails","$600,000,000","$600,000,000","$600,000,000","$600,000,000",yes,Pass,58.198808165672%,41.801191834328%,Constitutional Amendment,yes
FL,Key West,Municipal,11-03-1992,"Bond to purchase Key West Bight, to construct a public marina and conservation areas.",Bond,,"Open space, recreation","$18,500,000","$18,500,000","$18,500,000","$18,500,000",yes,Pass,73.726738491675%,26.273261508325%,,yes
IL,Lake Zurich,Municipal,11-03-1992,Bond to buy and renovate  Breezewald Park and preserve as open space,Bond,,"Open space, park","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,68.57502799552%,31.42497200448%,Lake County,yes
IL,DuPage County Forest Preserve District,County,11-03-1992,Bond to purchase 90 acres of land known as Mayslake,Bond,,Open space,"$17,500,000","$17,500,000","$17,500,000","$17,500,000",yes,Pass,50.662525752968%,49.337474247032%,,yes
IL,Dundee Township Park District,Special District,11-03-1992,Bond issue for acquisition and preservation of 50 acres of forested land,Bond,,"Open space, forests","$1,500,000","$1,500,000","$1,500,000","$1,500,000",yes,Pass,71.303479529918%,28.696520470082%,,yes
IL,Carol Stream Park District,Special District,11-03-1992,Bond issue for land acquisition,Bond,,Open space,"$5,500,000","$5,500,000",,,no,Fail,46.636771300448%,53.363228699552%,,yes
MD,Harford County,County,11-03-1992,Transfer tax to preserve farmland through the purchase of conservation easements,Real estate transfer tax,,Farmland,"$70,000,000","$70,000,000","$70,000,000","$70,000,000",yes,Pass,69.734800199523%,30.265199800477%,,yes
MD,Baltimore County,County,11-03-1992,Bond for the purchase of easements,Bond,,"Open space, farmland","$660,000","$660,000","$660,000","$660,000",yes,Pass,,,,yes
NE,Nebraska,State,11-03-1992,Constitutional Amendment establishing the Nebraska State Lottery with 49.5 percent of the proceeds dedicated to the Nebraska Environmental Trust Fund,Other,Lottery proceeds,"Open space, wildlife habitat, watershed protection","$600,000,000","$297,000,000","$600,000,000","$297,000,000",yes,Pass,62.205159817802%,37.794840182198%,THe funding allocation was passed prior to the election.  In 2004 voters approved a new funding allocation which changed the Environmental Trust portion to 44.5% from 49.5%,yes
NJ,Randolph Township,Municipal,11-03-1992,2 cent per 100 dollar property tax levy for creation of �Open Space Trust Fund�,Property tax,,Open space,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",yes,Pass,67.192613370734%,32.807386629266%,Morris County,yes
NJ,Denville Township,Municipal,11-03-1992,1-cent tax for the Open Space Trust Fund,Property tax,,Open space,,,,,yes,Pass,60.951910408432%,39.048089591568%,Morris County,yes
NJ,New Jersey,State,11-03-1992,"Public Question No. 1, Green Acres, Clean Water, Farmland and Historic Preservation Bond Act of 1992",Bond,,"Open space, farmland, watershed protection, recreation","$345,000,000","$200,000,000","$345,000,000","$200,000,000",yes,Pass,72.345018772994%,27.654981227006%,,yes
NM,New Mexico,State,11-03-1992,Bond for state parks,Bond,,Parks,"$1,550,000","$500,000",,,no,Fail,49.141361256544%,50.858638743456%,,yes
OH,Geauga County Park District,County,11-03-1992,"20-year, tax levy for parks",Property tax,,Parks,"$24,000,000","$9,600,000","$24,000,000","$9,600,000",yes,Pass,55.242521885426%,44.757478114574%,,yes
RI,Smithfield,Municipal,11-03-1992,Bond for the preservation of open space and recreational areas,Bond,,"Open space, recreation","$1,400,000","$1,400,000","$1,400,000","$1,400,000",yes,Pass,53.592814371257%,46.407185628743%,,yes
VA,Virginia,State,11-03-1992,Bond for capital projects for park and recreation facilities including land acquisition,Bond,,"Open space, parks, recreation","$95,365,000","$36,000,000","$95,365,000","$36,000,000",yes,Pass,66.98646191002%,33.01353808998%,,yes
WA,Mill Creek,Municipal,11-03-1992,Park Bonds,Bond,,Parks,"$5,100,000","$5,100,000",,,no,Fail,47.52086401571%,52.47913598429%,,yes
NJ,Morris County,County,11-05-1992,.02 cent property tax to establish an open space trust fund,Property tax,,"Open space, recreation, watershed protection, farmland",,,,,yes,Pass,68.909120158249%,31.090879841751%,,yes
TX,Richardson,Municipal,12-05-1992,Bond for parks,Bond,,Parks,"$8,550,000","$2,000,000","$8,550,000","$2,000,000",yes,Pass,68.266614846483%,31.733385153517%,,yes
OK,Bartlesville,Municipal,02-09-1993,Proposition No.4-Bond for parks,Bond,,Parks,"$900,000","$300,000","$900,000","$300,000",yes,Pass,59.896026735982%,40.103973264018%, Washington County,yes
OH,Johnny Appleseed Park District,County,05-04-1993,"10-year, .75-mill property tax (additional) for parks, land conservation, water protection, forests, and farmland",Property tax,,"parks, recreation, watershed protection, forests, farmland",,,,,yes,Pass,54.965056847815%,45.034943152185%,Allen County,yes
NJ,West Windsor Township,Municipal,05-11-1993,"$0.01 per $100 assessed property value for the establishment, maintenance and improvement of parks, open space and playgrounds",Property tax,,"Open space, recreation, parks","$3,984,320","$2,656,213","$3,984,320","$2,656,213",yes,Pass,71.083798882682%,28.916201117318%,Mercer County,yes
CA,Sacramento,Municipal,11-02-1993,Measure R-Bond for parks,Bond,,Parks,"$1,650,000","$1,650,000",,,no,Fail,66.123399301513%,33.876600698487%,,yes
CO,Broomfield,Municipal,11-02-1993,"Question No. 2, Bond issue for open space",Bond,,Open space,"$3,300,000","$3,300,000","$3,300,000","$3,300,000",yes,Pass,51.719448222265%,48.280551777735%,,yes
CO,Telluride,Municipal,11-02-1993,"Letter E, 20-year bond issue for acquisition of open space in the Telluride region",Bond,,Open space,"$5,535,000","$5,535,000",,,yes,Pass,68.59296482412%,31.40703517588%,Bonds super ceded by 2006 bond measure,yes
CO,Boulder County,County,11-02-1993,"16-year, 0.25% sales and use tax increase for trail and open space acquisition and maintenance",Sales tax,,"Open space, trails","$140,000,000","$140,000,000","$140,000,000","$140,000,000",yes,Pass,54.470132783386%,45.529867216614%,Accompanying $50M bond passed 67% to 33%,yes
CO,Boulder,Municipal,11-02-1993,"Question C, Bond issue for acquisition of open space property",Bond,,Open space,"$50,000,000","$50,000,000","$50,000,000","$50,000,000",yes,Pass,66.621997220568%,33.378002779432%,,yes
IL,Lake County Forest Preserve District,County,11-02-1993,"Bonds to preserve wildlife habitats, trail and greenway corridors, wet lands, prairies and forests",Bond,,"Recreation, wildlife habitat, trails, greenways, forests","$30,000,000","$20,000,000","$30,000,000","$20,000,000",yes,Pass,60.78067625459%,39.21932374541%,,yes
MN,Maplewood,Municipal,11-02-1993,Bond to finance the acquisition of open space,Bond,,Open space,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,54.059040590406%,45.940959409594%,Ramsey County,yes
NC,North Carolina,State,11-02-1993,State Park Bonds,Bond,,Parks,"$35,000,000","$20,000,000","$35,000,000","$20,000,000",yes,Pass,56.757041004757%,43.242958995243%,,yes
NJ,Mendham Township,Municipal,11-02-1993,"5-year, 0.2 mill property tax for �Open Space Trust Fund� and �Outdoor Recreation�",Property tax,,"Open space, recreation","$3,018,080","$3,018,080","$3,018,080","$3,018,080",yes,Pass,64.401463669629%,35.598536330371%,Morris Co.,yes
NJ,Warren County,County,11-02-1993,"2 cents per $100 property tax to create Open Space Trust Fund, the purpose of which is to preserve open space for the protection of water sources, outdoor recreation and farmland",Property tax,,"Recreation, open space, watershed protection, farmland","$22,123,200","$22,123,200","$22,123,200","$22,123,200",yes,Pass,64.016479961865%,35.983520038135%,,yes
NJ,Gloucester County,County,11-02-1993,1-cent per $100 property tax increase to protect and preserve open space and farmland,Property tax,,"Open space, farmland","$20,000,000","$20,000,000","$20,000,000","$20,000,000",yes,Pass,69.111863945115%,30.888136054885%,,yes
NJ,Roxbury Township,Municipal,11-02-1993,2 cents per $100 property tax increase for the establishment of an open space trust fund,Property tax,,"Open space, recreation","$8,195,260","$8,195,260","$8,195,260","$8,195,260",yes,Pass,61.226476314082%,38.773523685918%,Morris County,yes
Ore,Ashland,Municipal,11-02-1993,"17-year, 5 percent meals tax with 80 percent of the revenue for the sewage treatment plant and 20 percent for open space purchases",Other,Meals tax,"Open space, parks","$22,554,000","$4,528,000","$22,554,000","$4,528,000",yes,Pass,,,Jackson County,yes
PA,Pennsylvania,State,11-02-1993,"Bond to fund the acquisition and preservation of nature preserves, habitats and parks",Bond,,"Open space, habitat, parks","$50,000,000","$50,000,000","$50,000,000","$50,000,000",yes,Pass,63.989505019678%,36.010494980322%,,yes
TX,Travis County,County,11-02-1993,"Bond for the acquisition of approximately 30,000 acres of Balcones Canyonlands",Bond,,"Open space, wildlife","$48,900,000","$48,900,000",,,no,Fail,48.008328222344%,51.991671777656%,,yes
WA,Mukilteo,Municipal,11-02-1993,"Bond for fields, wetlands, trails, and parks",Bond,,"Parks, open space, trails","$7,645,000","$7,645,000",,,no,Fail,45.131633932303%,54.868366067697%,Snohomish County,yes
OH,Ohio,State,11-03-1993,Constitutional Amendment. Bond for parks and recreation,Bond,,Parks,"$200,000,000","$200,000,000","$200,000,000","$200,000,000",yes,Pass,60.556851627906%,39.443148372094%,Constitutional Amendment,yes
CT,Cheshire,Municipal,11-04-1993,"Bond for the acquisition of land for recreation, open space, conservation, educational and municipal purposes",Bond,,"Recreation, open space","$1,000,000","$750,000","$1,000,000","$750,000",yes,Pass,51.608280254777%,48.391719745223%,New Haven County,yes
Ore,West Linn,Municipal,11-09-1993,Bond for land acquisition for parks,Bond,,Parks,"$3,200,000","$3,200,000",,,no,Fail,47.54348489472%,52.45651510528%,,yes
TX,Granbury,Municipal,11-13-1993,"Bond to acquire or improve, or both, land for park purpose",Bond,,Parks,"$260,000","$260,000","$260,000","$260,000",yes,Pass,60.53412462908%,39.46587537092%,Hood County,yes
ID,Boise,Municipal,02-01-1994,Park and Recreation bonds,Bond,,"Recreation, parks","$20,000,000","$10,000,000",,,no,Fail,47.875169606513%,52.124830393487%,,yes
FL,Coral Springs,Municipal,03-08-1994,Bond to acquire and preserve environmentally sensitive lands,Bond,,"Open space, habitat","$7,500,000","$7,500,000","$7,500,000","$7,500,000",yes,Pass,66.503708698584%,33.496291301416%,,yes
IL,Lake Forest,Municipal,03-15-1994,Bond to acquire and develop land for public parks,Bond,,"Open space, parks","$5,200,000","$5,200,000",,,no,Fail,40.60382008626%,59.39617991374%,Lake County,yes
WI,Monona,Municipal,04-05-1994,Bond for acquisition of open space,Bond,,Open space,,,,,yes,Pass,66.824849007765%,33.175150992235%,Dane County,yes
NC,Cary,Municipal,04-08-1994,Bonds for parks and recreation,Bond,,"Open space, parks, recreation, greenways","$9,425,000","$1,885,000","$9,425,000","$1,885,000",yes,Pass,53.614022406939%,46.385977593061%,Wake County,yes
CO,Evergreen Park and Recreation District,Special District,05-03-1994,2 mill property tax to finance a bond for the purchase of open space,Property tax,,"Open space, recreation, parks, trails","$1,980,000","$1,980,000","$1,980,000","$1,980,000",yes,Pass,95.688960515713%,4.3110394842869%,"Jefferson County; Accompanied by $700,000 bond question which passed",yes
OH,Montgomery County Park District,Special District,05-03-1994,"10-year, 1.2 mill property tax for parks land conservation and recreational enhancements",Property tax,,"Recreation, parks","$7,901,465","$7,901,465",,,no,Fail,49.91588391981%,50.08411608019%,Dayton and Montgomery counties,yes
MN,Eden Prairie,Municipal,05-24-1994,Bond to buy and preserve 96 acres of land and forest,Bond,,"Open space, forests","$1,950,000","$1,950,000","$1,950,000","$1,950,000",yes,Pass,84.98153467378%,15.01846532622%,Hennepin County,yes
MN,Woodbury,Municipal,06-04-1994,Bond for parks and recreation,Bond,,"Recreation, open space, parks, trails","$7,600,000","$1,200,000","$7,600,000","$1,200,000",yes,Pass,51.651422764228%,48.348577235772%,,yes
CA,California,State,06-07-1994,"Proposition 180- Bond for the acquisition, development, restoration and conservation of parklands, historic sites, wildlife areas and forests",Bond,,"Open space, wildlife habitat, parks, forests","$2,000,000,000","$1,500,000,000",,,no,Fail,27.039321281632%,72.960678718368%,,yes
CA,Santa Clara County Open Space Authority,County,06-07-1994,"Measure A; $12 annual assessment on properties within the county for open space, watersheds, parks, and recreation facilities",Other,Charter Amendment,"Recreation, open space, parks, watershed protection",,,,,yes,Pass,57.427420906924%,42.572579093076%,Advisory vote only,yes
MT,Missoula County,County,06-07-1994,Bond to establish an open space acquisition fund,Bond,,"Open space, parks, recreation, wildlife habitat, watershed protection","$8,000,000","$8,000,000",,,yes,Pass*,55.442493028717%,44.557506971283%,"Results were nullified due to low voter turnout.  Question placed on November 8, 1994 ballot and failed",yes
